,GLD,SPY,TLT
2015-02-28,-0.05905219494812319,0.05620443692424426,-0.06138306445772401
2015-03-31,-0.021522037888980217,-0.01570560017975675,0.0109215797309683
2015-04-30,-0.0016716737223684275,0.009833905025971035,-0.034251371919721385
2015-05-31,0.005552104050766671,0.012856269815193944,-0.023724453069322582
2015-06-30,-0.015162101232906178,-0.020312174958544205,-0.04071987178481429
2015-07-31,-0.06620986259282224,0.022589450161567326,0.0454595597382943
2015-08-31,0.03707232801234017,-0.060950540894775806,-0.006894750822337259
2015-09-30,-0.01801138660144541,-0.025515685308205582,0.01966874122368867
2015-10-31,0.022833636790845047,0.08505982009033763,-0.004088309792475764
2015-11-30,-0.06752062833262484,0.0036550845384193398,-0.00867655690075153
2015-12-31,-0.004513334897339294,-0.017282456230635956,-0.002972213697403747
2016-01-31,0.05410997351969926,-0.04978641468085132,0.05573067413198585
2016-02-29,0.10930343875618398,-0.0008261121705867014,0.03086031491275998
2016-03-31,-0.008428860461434318,0.06726572810669285,-0.0009336423535335481
2016-04-30,0.051088083708025867,0.003941317732138794,-0.0073652455069038725
2016-05-31,-0.06138296703293311,0.017011762342638237,0.008054798496218929
2016-06-30,0.08969501879279118,0.0034756439040257714,0.0693409753993186
2016-07-31,0.01984656031160892,0.03647108098962892,0.021025012315460945
2016-08-31,-0.03256316550912575,0.0011977832761551621,-0.010134281799069389
2016-09-30,0.006892135107908315,5.811664050736631e-05,-0.015083705987900542
2016-10-31,-0.02944919584699579,-0.017336932257393745,-0.043806235672219196
2016-11-30,-0.08356570639157301,0.036838141474911934,-0.08213772121704666
2016-12-31,-0.019149882681417818,0.020272167313117206,-0.0046259939611809076
2017-01-31,0.05419215772584596,0.017894278022657195,0.008142293285943847
2017-02-28,0.031847686784806095,0.039291748935676774,0.01584620236519685
2017-03-31,-0.00427746474772539,0.0012498687261437436,-0.0065512052925320585
2017-04-30,0.01726748147982482,0.009926170468812723,0.015732135992096996
2017-05-31,-0.0012419798017191397,0.01411277007264844,0.0188783336301086
2017-06-30,-0.02155534773928114,0.0063749692546632986,0.007919085468552245
2017-07-31,0.02313170169958645,0.02055411092329762,-0.006583168623230939
2017-08-31,0.04198757511241591,0.0029180179416385954,0.0340870614169313
2017-09-30,-0.03369891808976022,0.02014943145554371,-0.02322942461905897
2017-10-31,-0.007484813689786707,0.023563997261723202,-0.00038512449284833217
2017-11-30,0.003563440057186007,0.03056581261524416,0.0074311927458932114
2017-12-31,0.021057003170010358,0.012127998696939368,0.01812622683772691
2018-01-31,0.03234937283169237,0.056359345817522,-0.0325553466665407
2018-02-28,-0.020759902030566435,-0.03636078282640265,-0.03041445717134239
2018-03-31,0.006320007324218668,-0.027410260335006043,0.028596442644722275
2018-04-30,-0.009539745360543916,0.005167921794463792,-0.0208812038146301
2018-05-31,-0.011959209467577336,0.024309282635155194,0.020044090855707575
2018-06-30,-0.03614944763120931,0.005750937653569155,0.006457473411372483
2018-07-31,-0.022418909632539674,0.03704661668617559,-0.014368726583909197
2018-08-31,-0.021381117106768266,0.03191963430163147,0.013120432379951641
2018-09-30,-0.006607347245927042,0.00594572997877818,-0.02864309302170953
2018-10-31,0.02119545356837582,-0.06910429079938862,-0.02930493806202583
2018-11-30,0.003386881324189961,0.01854919939722488,0.017872358457904802
2018-12-31,0.04942010593064916,-0.08804856965720087,0.05853420509035945
2019-01-31,0.028865979381443196,0.08006554528390386,0.0037862682673617254
2019-02-28,-0.006092201492829408,0.032416257326203235,-0.013764115773737484
2019-03-31,-0.01596899557748621,0.01809985027141159,0.055716598471514
2019-04-30,-0.006638842503124187,0.040852885217526946,-0.01991095854617808
2019-05-31,0.017574298155486723,-0.06377139409956623,0.06839222829086244
2019-06-30,0.08002914919848991,0.06958651904906166,0.009501524602852474
2019-07-31,7.514839229982861e-05,0.015119674280511974,0.002565354839436429
2019-08-31,0.0791231345612986,-0.0167435671183932,0.11049113869200067
2019-09-30,-0.0339478600543478,0.019457646136407103,-0.02679957212315398
2019-10-31,0.02563546974700759,0.02210477884169726,-0.011131256326218253
2019-11-30,-0.03208588289288572,0.03619812201424,-0.0040721608975341494
2019-12-31,0.03655877893383952,0.02905576329142212,-0.031975024824459686
2020-01-31,0.04499655849690343,-0.00040384420781036656,0.07691171661692486
2020-02-29,-0.006361728631845698,-0.07916587954411247,0.06626546614870632
2020-03-31,-0.002224031676743232,-0.12487128925228164,0.06376612011812322
2020-04-30,0.07261060302877431,0.12698361216078746,0.012189733581784212
2020-05-31,0.02588161543682088,0.04764528962183112,-0.01761889185979104
2020-06-30,0.02737702630176453,0.017734533796955887,0.0033661853217472615
2020-07-31,0.10790463097013703,0.05889222732448074,0.04435107747602518
2020-08-31,-0.0032356731296194763,0.06979668771166692,-0.05046542509587015
2020-09-30,-0.0417140433776253,-0.03744331992038863,0.0077343466370853875
2020-10-31,-0.0051942084141127776,-0.024934238976505485,-0.03385218063885109
2020-11-30,-0.05408625961608993,0.10877715213480355,0.016639521466447205
2020-12-31,0.07013861264675048,0.037048120199435264,-0.012276903909924752
2021-01-31,-0.03223816988295236,-0.010190187452300936,-0.03632762441093307
2021-02-28,-0.06256881416817583,0.027805453084774445,-0.05732934132019729
2021-03-31,-0.011433105943016053,0.04539925148538715,-0.05245282394093431
2021-04-30,0.035633887903232075,0.05291058972315943,0.02495069824626328
2021-05-31,0.07678377966625938,0.00656601627815423,2.2019923058058666e-05
2021-06-30,-0.07147662098325525,0.02242743377612788,0.04419088153755335
2021-07-31,0.025297363508325565,0.0244123681865962,0.03716629940711802
2021-08-31,-0.0007655451490135023,0.029760020004196752,-0.0034016876668550022
2021-09-30,-0.03223525924924131,-0.04660553628787878,-0.029070054406850843
2021-10-31,0.014797178527087285,0.07016375019643517,0.02465066886326528
2021-11-30,-0.006900653696985448,-0.00803502115046939,0.027714665967316865
2021-12-31,0.032990977123064535,0.046247789166566244,-0.02013822645043739
2022-01-31,-0.016787612677039987,-0.052741287312168095,-0.039138494840668336
2022-02-28,0.061217257237826006,-0.029516916703255847,-0.016330175903304434
2022-03-31,0.0127255799503041,0.03759021437910515,-0.05444422232522261
2022-04-30,-0.020702963524693363,-0.08776895462344203,-0.09423840454684529
2022-05-31,-0.03261547766106776,0.0022573028618784186,-0.022533192202720542
2022-06-30,-0.01565965107712486,-0.08246052969983242,-0.012745731120839987
2022-07-31,-0.0258815174913124,0.09208746343013763,0.024309972755076403
2022-08-31,-0.02943328245830701,-0.040801943256898565,-0.04553059948576632
2022-09-30,-0.028881810636775418,-0.09244565048711584,-0.08235123197421768
2022-10-31,-0.017844407703562548,0.08127519801244643,-0.05964430650282959
2022-11-30,0.0849186596373046,0.05559154651947007,0.07151066175547793
2022-12-31,0.02930648566594085,-0.05762808631785998,-0.026200330877306888
2023-01-31,0.05759257431981046,0.06288742423355687,0.07643678610104465
2023-02-28,-0.05367596391642193,-0.02514282884726815,-0.048505851578438564
2023-03-31,0.07916128247166143,0.03707766543189828,0.048393324630635615
2023-04-30,0.008623522653246951,0.015975067063314308,0.003383638243312781
2023-05-31,-0.013419890078922081,0.004616131077196828,-0.030152978627968063
2023-06-30,-0.02221370606110007,0.06479989639706574,0.0021711961350132647
2023-07-31,0.02288664235862692,0.03273330984760148,-0.02544278747983919
2023-08-31,-0.012777635059315506,-0.016252068676622433,-0.03142065122133464
2023-09-30,-0.047605861131121974,-0.047434415216044856,-0.07951131753132812
2023-10-31,0.07372411557093361,-0.021708635534843035,-0.054631994471995404
2023-11-30,0.02531372564947043,0.0913437610063772,0.09923908269940385
2023-12-31,0.012821182352028115,0.0456553910543287,0.08685707956409039
2024-01-31,-0.014228180398366375,0.01592647831792915,-0.02245120962014102
2024-02-29,0.004563548019519192,0.052186776918271116,-0.022521914687346434
2024-03-31,0.08668323846462611,0.03270204598747917,0.007828704506996909
2024-04-30,0.02989497307015121,-0.04031967945514814,-0.06455447817340287
2024-05-31,0.016189210429127243,0.05057958576521049,0.0288697402647351
2024-06-30,-0.0013469974027457976,0.03528016665523781,0.018171474261811538
2024-07-31,0.053671963349382734,0.01210917131402578,0.03629929732087911
2024-08-31,0.02092249026936499,0.02336566124174788,0.021112134381320313
2024-09-30,0.050888514912532656,0.021004548991797156,0.01999458926431852
2024-10-31,0.04299348742370923,-0.008923558620233862,-0.05454884246338498
2024-11-30,-0.031241364603207922,0.05963363080849371,0.01987219750892022
2024-12-31,-0.014088486936242095,-0.024060282584899673,-0.06381027260432925
2025-01-31,0.06785607873643396,0.026856408076720406,0.0049237872181333575
2025-02-28,0.018216241876358952,-0.012694837033450312,0.05697125235734801
2025-03-31,0.09446585889998316,-0.05571929979177004,-0.012047026249472736
2025-04-30,0.05424437277239913,-0.008670120069320442,-0.013604751665835635
2025-05-31,-0.0005595776946504261,0.06284501787581465,-0.032106042528315726
2025-06-30,0.004051318985581975,0.051386078379676015,0.02664046648817875
2025-07-31,-0.0061345510598058706,0.023031507308652444,-0.011396571950186618
2025-08-31,0.049874624687468394,0.02051959125720848,0.00012716845029370205
2025-09-30,0.11758415768627128,0.03562036952182912,0.035909539150250414
2025-10-31,0.035586670754335525,0.023837458474752493,0.013810815271763754
2025-11-30,0.05367817567023114,0.0019499283249213573,0.002723399143577998
2025-12-31,0.02173350667644791,0.000797497311368911,-0.02658608394832207
2026-01-31,0.12273224230545976,0.014737781623702428,-0.0003442656104838404
2026-02-28,0.08720077925273872,-0.008641965290305365,0.04633752946998082
